Unnamed: 0,codice_cliente,Prodotto,Area di Bisogno,Data di Emissione,Premio_Ricorrente,Premio_Unico,Capitale_Rivalutato,Massimale,Stato_Polizza,Data_Scadenza,Canale_Acquisizione,Commissione_Perc,Premio_Totale_Annuo,Commissione_Euro,Costi_Operativi,Margine_Lordo,Importo_Liquidato,Sinistri_Totali,Loss_Ratio
18.0,9509,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2013-11-06,549.0,,,500000.0,Scaduta,2014-11-06,Rete Diretta Agenziale,0.159,549.0,87,104.42897380637824,358,,0,0.0
19.0,9511,Polizza Salute e Infortuni: Salute Protetta,Protezione,2021-10-02,430.0,,,800000.0,Attiva,2022-10-02,Rete Diretta Agenziale,0.151,430.0,65,81.06298144172877,284,,0,0.0
20.0,9511,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2024-11-27,682.0,,,100000.0,Attiva,2025-11-27,Rete Diretta Agenziale,0.163,682.0,111,126.74545648706648,444,,0,0.0
21.0,9511,Piano Individuale Pensionistico (PIP): Pensione Serenità,Previdenza,2021-07-19,187.0,,7914.0,,Attiva,2022-07-19,Rete Diretta Agenziale,0.041,187.0,8,42.095291002627846,137,,0,0.0
22.0,9512,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2007-05-11,127.0,,72219.0,,Attiva,2008-05-11,Rete Diretta Agenziale,0.033,127.0,4,31.24056607481212,92,,0,0.0
23.0,9513,Polizza Salute e Infortuni: Salute Protetta,Protezione,2024-08-18,410.0,,,100000.0,Attiva,2025-08-18,Rete Diretta Agenziale,0.147,410.0,60,74.34240063843409,276,8637.0,8637,3.0
24.0,9513,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2024-08-18,278.0,,,100000.0,Attiva,2025-08-18,Rete Diretta Agenziale,0.152,278.0,42,46.207747694163146,190,,0,0.0
25.0,9515,Polizza Salute e Infortuni: Salute Protetta,Protezione,2022-01-04,994.0,,,350000.0,Attiva,2023-01-04,Rete Diretta Agenziale,0.155,994.0,154,199.70355541647,640,1851.0,1851,1.862
26.0,9515,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2022-05-08,313.0,,,200000.0,Attiva,2023-05-08,Rete Diretta Agenziale,0.147,313.0,46,53.94484580122815,213,,0,0.0
27.0,9516,Polizza Salute e Infortuni: Salute Protetta,Protezione,2022-12-27,976.0,,,200000.0,Attiva,2023-12-27,Rete Diretta Agenziale,0.122,976.0,119,223.82288026451428,633,17697.0,17697,3.0
28.0,9516,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2024-02-13,520.0,,,200000.0,Attiva,2025-02-13,Rete Diretta Agenziale,0.127,520.0,66,99.18726486664944,355,,0,0.0
29.0,9516,Polizza Vita a Premi Ricorrenti: Risparmio Costante,Risparmio e Investimento,2022-01-10,124.0,,4379.0,,Attiva,2023-01-10,Rete Diretta Agenziale,0.031,124.0,4,29.92665257751784,90,,0,0.0
30.0,9519,Polizza Salute e Infortuni: Salute Protetta,Protezione,2005-07-18,837.0,,,100000.0,Scaduta,2006-07-18,Rete Diretta Agenziale,0.146,837.0,122,193.7407605939552,521,,0,0.0
31.0,9519,Piano Individuale Pensionistico (PIP): Pensione Serenità,Previdenza,2006-10-16,262.0,,101651.0,,Attiva,2007-10-16,Rete Diretta Agenziale,0.028,262.0,7,57.68259898170988,197,,0,0.0
32.0,9520,Polizza Salute e Infortuni: Salute Protetta,Protezione,2024-09-09,864.0,,,350000.0,Attiva,2025-09-09,Rete Diretta Agenziale,0.121,864.0,105,139.58713225718438,619,,0,0.0
33.0,9520,Polizza Vita a Premio Unico: Futuro Sicuro,Risparmio e Investimento,2020-08-17,,66240.0,79460.0,,Attiva,2021-08-17,Rete Diretta Agenziale,0.04,0.0,0,0.0,0,,0,0.0
34.0,9520,Polizza Vita a Premi Ricorrenti: Risparmio Costante,Risparmio e Investimento,2018-06-19,435.0,,37649.0,,Attiva,2019-06-19,Rete Diretta Agenziale,0.041,435.0,18,101.04200224780854,316,,0,0.0
35.0,9521,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2016-04-23,726.0,,,100000.0,Attiva,2017-04-23,Rete Diretta Agenziale,0.127,726.0,92,136.23629730249823,498,,0,0.0
36.0,9521,Piano Individuale Pensionistico (PIP): Pensione Serenità,Previdenza,2011-06-17,55.0,,18982.0,,Attiva,2012-06-17,Rete Diretta Agenziale,0.041,55.0,2,12.455291332724832,41,,0,0.0
37.0,9522,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2017-02-20,342.0,,,200000.0,Attiva,2018-02-20,Rete Diretta Agenziale,0.164,342.0,56,84.00590749377021,202,,0,0.0
38.0,9523,Polizza Salute e Infortuni: Salute Protetta,Protezione,2020-07-07,655.0,,,350000.0,Attiva,2021-07-07,Rete Diretta Agenziale,0.121,655.0,79,136.8166145916278,439,,0,0.0
39.0,9523,Piano Individuale Pensionistico (PIP): Pensione Serenità,Previdenza,2011-02-12,284.0,,64267.0,,Scaduta,2012-02-12,Rete Diretta Agenziale,0.049,284.0,14,65.96987320458562,204,,0,0.0
40.0,9524,Polizza Salute e Infortuni: Salute Protetta,Protezione,2023-10-07,505.0,,,100000.0,Attiva,2024-10-07,Rete Diretta Agenziale,0.163,505.0,82,110.47756115479892,313,5069.0,5069,3.0
41.0,9524,Piano Individuale Pensionistico (PIP): Pensione Serenità,Previdenza,2020-05-02,247.0,,15701.0,,Attiva,2021-05-02,Rete Diretta Agenziale,0.028,247.0,7,46.00543380467765,194,,0,0.0
42.0,9525,Polizza Salute e Infortuni: Salute Protetta,Protezione,2006-10-11,532.0,,,100000.0,Scaduta,2007-10-11,Rete Diretta Agenziale,0.126,532.0,67,92.53701662302387,372,,0,0.0
43.0,9525,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2014-08-24,394.0,,,200000.0,Scaduta,2015-08-24,Rete Diretta Agenziale,0.136,394.0,54,89.76272269025412,250,,0,0.0
44.0,9525,Piano Individuale Pensionistico (PIP): Pensione Serenità,Previdenza,2024-12-20,218.0,,-654.0,,Attiva,2025-12-20,Rete Diretta Agenziale,0.036,218.0,8,39.11163357634611,171,,0,0.0
45.0,9526,Polizza Salute e Infortuni: Salute Protetta,Protezione,2021-01-26,798.0,,,800000.0,Attiva,2022-01-26,Rete Diretta Agenziale,0.165,798.0,132,190.1627503127436,476,,0,0.0
46.0,9526,Polizza Vita a Premio Unico: Futuro Sicuro,Risparmio e Investimento,2001-10-15,,46557.0,123893.0,,Scaduta,2002-10-15,Rete Diretta Agenziale,0.048,0.0,0,0.0,0,,0,0.0
47.0,9526,Piano Individuale Pensionistico (PIP): Pensione Serenità,Previdenza,2016-06-19,142.0,,21024.0,,Attiva,2017-06-19,Rete Diretta Agenziale,0.038,142.0,5,22.85477092837761,114,23778.0,23778,3.0
48.0,9527,Polizza Salute e Infortuni: Salute Protetta,Protezione,2022-08-24,608.0,,,100000.0,Attiva,2023-08-24,Rete Diretta Agenziale,0.124,608.0,75,117.14408264096971,416,3655.0,3655,3.0
49.0,9527,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2022-02-15,449.0,,,1000000.0,Attiva,2023-02-15,Rete Diretta Agenziale,0.138,449.0,62,88.74313131143761,298,42312.0,42312,3.0
50.0,9528,Polizza Salute e Infortuni: Salute Protetta,Protezione,2023-04-11,331.0,,,100000.0,Attiva,2024-04-11,Rete Diretta Agenziale,0.15,331.0,50,52.4965279428129,229,,0,0.0
51.0,9528,Piano Individuale Pensionistico (PIP): Pensione Serenità,Previdenza,2024-05-13,160.0,,688.0,,Attiva,2025-05-13,Rete Diretta Agenziale,0.044,160.0,7,32.084459938740785,121,,0,0.0
52.0,9531,Polizza Salute e Infortuni: Salute Protetta,Protezione,2022-06-01,967.0,,,350000.0,Attiva,2023-06-01,Rete Diretta Agenziale,0.123,967.0,119,173.6949446416533,674,,0,0.0
53.0,9532,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2018-04-05,476.0,,,1000000.0,Attiva,2019-04-05,Rete Diretta Agenziale,0.126,476.0,60,107.48001932205752,309,,0,0.0
54.0,9533,Polizza Salute e Infortuni: Salute Protetta,Protezione,2019-11-24,340.0,,,100000.0,Attiva,2020-11-24,Rete Diretta Agenziale,0.132,340.0,45,73.27122995783908,222,,0,0.0
55.0,9533,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2012-05-04,744.0,,,100000.0,Scaduta,2013-05-04,Rete Diretta Agenziale,0.125,744.0,93,152.2657520596909,499,,0,0.0
56.0,9533,Polizza Vita a Premi Ricorrenti: Risparmio Costante,Risparmio e Investimento,2012-03-08,177.0,,35328.0,,Scaduta,2013-03-08,Rete Diretta Agenziale,0.033,177.0,6,39.87717730763245,131,,0,0.0
57.0,9534,Piano Individuale Pensionistico (PIP): Pensione Serenità,Previdenza,2019-03-14,201.0,,17958.0,,Attiva,2020-03-14,Rete Diretta Agenziale,0.05,201.0,10,50.01392392020578,141,,0,0.0
58.0,9535,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2016-05-17,465.0,,,1000000.0,Attiva,2017-05-17,Rete Diretta Agenziale,0.165,465.0,77,74.6924378452955,313,,0,0.0
59.0,9535,Piano Individuale Pensionistico (PIP): Pensione Serenità,Previdenza,2020-12-16,59.0,,3242.0,,Attiva,2021-12-16,Rete Diretta Agenziale,0.035,59.0,2,12.406594621886738,45,,0,0.0
60.0,9537,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2013-12-08,561.0,,,200000.0,Attiva,2014-12-08,Rete Diretta Agenziale,0.161,561.0,90,129.61696853231072,341,,0,0.0
61.0,9538,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2023-11-15,796.0,,,1000000.0,Attiva,2024-11-15,Rete Diretta Agenziale,0.149,796.0,119,150.79814563348484,526,,0,0.0
62.0,9538,Polizza Vita a Premio Unico: Futuro Sicuro,Risparmio e Investimento,2024-06-07,,19837.0,19965.0,,Attiva,2025-06-07,Rete Diretta Agenziale,0.045,0.0,0,0.0,0,31864.0,31864,0.0
63.0,9539,Polizza Vita a Premio Unico: Futuro Sicuro,Risparmio e Investimento,2023-09-21,,20176.0,20794.0,,Attiva,2024-09-21,Rete Diretta Agenziale,0.044,0.0,0,0.0,0,,0,0.0
64.0,9539,Piano Individuale Pensionistico (PIP): Pensione Serenità,Previdenza,2023-01-25,256.0,,5458.0,,Attiva,2024-01-25,Rete Diretta Agenziale,0.046,256.0,12,50.37845069207593,194,,0,0.0
65.0,9540,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2021-07-10,466.0,,,200000.0,Attiva,2022-07-10,Rete Diretta Agenziale,0.128,466.0,60,103.17761223150404,303,,0,0.0
66.0,9541,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2016-04-02,299.0,,,200000.0,Attiva,2017-04-02,Rete Diretta Agenziale,0.179,299.0,54,53.49971343706876,192,,0,0.0
67.0,9542,Polizza Salute e Infortuni: Salute Protetta,Protezione,2021-05-04,686.0,,,800000.0,Attiva,2022-05-04,Rete Diretta Agenziale,0.175,686.0,120,154.23593624556594,412,,0,0.0
68.0,9542,Piano Individuale Pensionistico (PIP): Pensione Serenità,Previdenza,2022-08-12,171.0,,4757.0,,Attiva,2023-08-12,Rete Diretta Agenziale,0.029,171.0,5,37.77479429239169,128,,0,0.0
69.0,9543,Polizza Salute e Infortuni: Salute Protetta,Protezione,2021-05-13,664.0,,,350000.0,Attiva,2022-05-13,Rete Diretta Agenziale,0.156,664.0,104,104.33581833338852,456,,0,0.0
70.0,9543,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2023-01-11,376.0,,,1000000.0,Attiva,2024-01-11,Rete Diretta Agenziale,0.142,376.0,53,82.49937454814362,241,,0,0.0
71.0,9544,Piano Individuale Pensionistico (PIP): Pensione Serenità,Previdenza,2016-06-04,254.0,,31459.0,,Attiva,2017-06-04,Rete Diretta Agenziale,0.027,254.0,7,63.42021696542489,184,,0,0.0
72.0,9545,Polizza Salute e Infortuni: Salute Protetta,Protezione,2022-06-09,317.0,,,350000.0,Attiva,2023-06-09,Rete Diretta Agenziale,0.127,317.0,40,67.93112596891123,209,,0,0.0
73.0,9545,Polizza Vita a Premio Unico: Futuro Sicuro,Risparmio e Investimento,2022-02-16,,16145.0,17711.0,,Attiva,2023-02-16,Rete Diretta Agenziale,0.038,0.0,0,0.0,0,,0,0.0
74.0,9546,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2019-10-02,549.0,,,500000.0,Attiva,2020-10-02,Rete Diretta Agenziale,0.142,549.0,78,87.48979060855467,384,,0,0.0
75.0,9547,Polizza Vita a Premio Unico: Futuro Sicuro,Risparmio e Investimento,2023-12-05,307.0,,,800000.0,Attiva,2024-12-05,Rete Diretta Agenziale,0.168,307.0,52,59.73836441660938,195,,0,0.0
76.0,9547,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2021-05-22,721.0,,,200000.0,Attiva,2022-05-22,Rete Diretta Agenziale,0.151,721.0,109,156.26138137486353,456,30117.0,30117,3.0
77.0,9547,Polizza Vita a Premio Unico: Futuro Sicuro,Risparmio e Investimento,2022-04-16,,45974.0,50129.0,,Attiva,2023-04-16,Rete Diretta Agenziale,0.045,0.0,0,0.0,0,,0,0.0
78.0,9547,Piano Individuale Pensionistico (PIP): Pensione Serenità,Previdenza,2023-05-06,62.0,,1099.0,,Attiva,2024-05-06,Rete Diretta Agenziale,0.023,62.0,1,13.384561985372812,48,,0,0.0
79.0,9548,Polizza Salute e Infortuni: Salute Protetta,Protezione,2016-04-09,705.0,,,100000.0,Scaduta,2017-04-09,Rete Diretta Agenziale,0.176,705.0,124,139.6416999043787,441,,0,0.0
80.0,9548,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2021-01-28,712.0,,,100000.0,Attiva,2022-01-28,Rete Diretta Agenziale,0.147,712.0,105,168.338178599057,439,,0,0.0
81.0,9548,Polizza Vita a Premio Unico: Futuro Sicuro,Risparmio e Investimento,2022-02-23,,92887.0,104106.0,,Attiva,2023-02-23,Rete Diretta Agenziale,0.043,0.0,0,0.0,0,,0,0.0
82.0,9548,Piano Individuale Pensionistico (PIP): Pensione Serenità,Previdenza,2024-08-14,284.0,,338.0,,Attiva,2025-08-14,Rete Diretta Agenziale,0.031,284.0,9,43.98343637450132,231,,0,0.0
83.0,9550,Polizza Salute e Infortuni: Salute Protetta,Protezione,2020-08-25,553.0,,,800000.0,Scaduta,2021-08-25,Rete Diretta Agenziale,0.12,553.0,66,112.74832150444746,374,,0,0.0
84.0,9550,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2012-12-20,657.0,,,100000.0,Scaduta,2013-12-20,Rete Diretta Agenziale,0.124,657.0,81,104.50077581871722,471,,0,0.0
85.0,9550,Polizza Vita a Premio Unico: Futuro Sicuro,Risparmio e Investimento,2022-09-04,,13216.0,14231.0,,Attiva,2023-09-04,Rete Diretta Agenziale,0.032,0.0,0,0.0,0,,0,0.0
86.0,9550,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2012-04-21,177.0,,39825.0,,Attiva,2013-04-21,Rete Diretta Agenziale,0.031,177.0,5,34.62106719617372,137,,0,0.0
87.0,9551,Polizza Salute e Infortuni: Salute Protetta,Protezione,2024-06-24,672.0,,,800000.0,Attiva,2025-06-24,Rete Diretta Agenziale,0.155,672.0,104,116.0404634912238,452,,0,0.0
88.0,9551,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2024-10-26,302.0,,,100000.0,Attiva,2025-10-26,Rete Diretta Agenziale,0.144,302.0,43,55.07515295235909,204,11442.0,11442,3.0
89.0,9551,Polizza Vita a Premi Ricorrenti: Risparmio Costante,Risparmio e Investimento,2024-06-08,171.0,,586.0,,Attiva,2025-06-08,Rete Diretta Agenziale,0.025,171.0,4,37.19379371246962,130,,0,0.0
90.0,9552,Polizza Salute e Infortuni: Salute Protetta,Protezione,2019-10-08,986.0,,,350000.0,Attiva,2020-10-08,Rete Diretta Agenziale,0.155,986.0,153,235.22133355534632,598,,0,0.0
91.0,9553,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2011-11-22,514.0,,,1000000.0,Scaduta,2012-11-22,Rete Diretta Agenziale,0.147,514.0,76,84.33459319510614,354,,0,0.0
92.0,9553,Polizza Vita a Premio Unico: Futuro Sicuro,Risparmio e Investimento,1994-02-06,,92377.0,405726.0,,Scaduta,1995-02-06,Rete Diretta Agenziale,0.034,0.0,0,0.0,0,,0,0.0
93.0,9554,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2024-06-27,446.0,,,200000.0,Attiva,2025-06-27,Rete Diretta Agenziale,0.126,446.0,56,75.31927675704694,315,,0,0.0
94.0,9554,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2023-05-24,,11879.0,12351.0,,Attiva,2024-05-24,Rete Diretta Agenziale,0.026,0.0,0,0.0,0,,0,0.0
95.0,9554,Polizza Vita a Premi Ricorrenti: Risparmio Costante,Risparmio e Investimento,2022-01-08,390.0,,13417.0,,Attiva,2023-01-08,Rete Diretta Agenziale,0.036,390.0,14,91.90276555660355,284,,0,0.0
96.0,9555,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2016-09-27,449.0,,,500000.0,Attiva,2017-09-27,Rete Diretta Agenziale,0.147,449.0,66,109.11519516597232,274,,0,0.0
97.0,9555,Piano Individuale Pensionistico (PIP): Pensione Serenità,Previdenza,2012-08-10,209.0,,48242.0,,Scaduta,2013-08-10,Rete Diretta Agenziale,0.044,209.0,9,46.97219012063565,153,,0,0.0
98.0,9556,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2024-08-24,263.0,,,100000.0,Attiva,2025-08-24,Rete Diretta Agenziale,0.121,263.0,32,51.252441784851406,180,,0,0.0
99.0,9556,Polizza Vita a Premio Unico: Futuro Sicuro,Risparmio e Investimento,2014-08-20,,74850.0,119739.0,,Attiva,2015-08-20,Rete Diretta Agenziale,0.022,0.0,0,0.0,0,,0,0.0
100.0,9557,Polizza Salute e Infortuni: Salute Protetta,Protezione,2010-04-17,786.0,,,350000.0,Scaduta,2011-04-17,Rete Diretta Agenziale,0.15,786.0,118,177.42541619537383,491,,0,0.0
101.0,9557,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2016-01-09,539.0,,,1000000.0,Attiva,2017-01-09,Rete Diretta Agenziale,0.157,539.0,85,119.61052221109168,334,,0,0.0
102.0,9559,Polizza Salute e Infortuni: Salute Protetta,Protezione,2020-12-18,516.0,,,100000.0,Attiva,2021-12-18,Rete Diretta Agenziale,0.166,516.0,86,79.1449860048813,351,,0,0.0
103.0,9559,Polizza Vita a Premio Unico: Futuro Sicuro,Risparmio e Investimento,2013-06-26,,97292.0,158225.0,,Scaduta,2014-06-26,Rete Diretta Agenziale,0.024,0.0,0,0.0,0,,0,0.0
104.0,9559,Polizza Vita a Premi Ricorrenti: Risparmio Costante,Risparmio e Investimento,2012-09-05,315.0,,72589.0,,Scaduta,2013-09-05,Rete Diretta Agenziale,0.041,315.0,13,58.263033585795846,244,,0,0.0
105.0,9559,Piano Individuale Pensionistico (PIP): Pensione Serenità,Previdenza,2021-04-06,235.0,,11255.0,,Attiva,2022-04-06,Rete Diretta Agenziale,0.023,235.0,5,48.77093550333416,181,,0,0.0
106.0,9561,Polizza Vita a Premio Unico: Futuro Sicuro,Risparmio e Investimento,2018-01-26,,83901.0,95885.0,,Scaduta,2019-01-26,Rete Diretta Agenziale,0.039,0.0,0,0.0,0,14976.0,14976,0.0
107.0,9561,Polizza Vita a Premi Ricorrenti: Risparmio Costante,Risparmio e Investimento,2017-04-10,477.0,,46070.0,,Attiva,2018-04-10,Rete Diretta Agenziale,0.035,477.0,17,97.41558472574762,363,,0,0.0
108.0,9561,Piano Individuale Pensionistico (PIP): Pensione Serenità,Previdenza,2021-03-19,195.0,,8919.0,,Attiva,2022-03-19,Rete Diretta Agenziale,0.038,195.0,7,42.54875388839082,145,,0,0.0
109.0,9562,Piano Individuale Pensionistico (PIP): Pensione Serenità,Previdenza,2021-03-12,987.0,,,100000.0,Attiva,2022-03-12,Rete Diretta Agenziale,0.15,987.0,148,148.27765723491757,691,,0,0.0
110.0,9562,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2023-06-21,791.0,,,1000000.0,Attiva,2024-06-21,Rete Diretta Agenziale,0.132,791.0,104,163.6050159748914,523,,0,0.0
111.0,9562,Piano Individuale Pensionistico (PIP): Pensione Serenità,Previdenza,2023-08-04,177.0,,2545.0,,Attiva,2024-08-04,Rete Diretta Agenziale,0.025,177.0,4,35.94141510898658,137,46663.0,46663,3.0
112.0,9565,Polizza Salute e Infortuni: Salute Protetta,Protezione,2022-06-28,695.0,,,200000.0,Attiva,2023-06-28,Rete Diretta Agenziale,0.132,695.0,92,153.88472242199688,449,,0,0.0
113.0,9565,Polizza Vita a Premio Unico: Futuro Sicuro,Risparmio e Investimento,2015-07-02,,12135.0,17851.0,,Scaduta,2016-07-02,Rete Diretta Agenziale,0.035,0.0,0,0.0,0,,0,0.0
114.0,9565,Piano Individuale Pensionistico (PIP): Pensione Serenità,Previdenza,2015-09-20,238.0,,37103.0,,Scaduta,2016-09-20,Rete Diretta Agenziale,0.034,238.0,8,56.89911979167824,173,,0,0.0
115.0,9566,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2022-07-22,399.0,,,500000.0,Attiva,2023-07-22,Rete Diretta Agenziale,0.136,399.0,54,74.84468793046499,270,,0,0.0
116.0,9566,Piano Individuale Pensionistico (PIP): Pensione Serenità,Previdenza,2016-11-06,90.0,,12526.0,,Scaduta,2017-11-06,Rete Diretta Agenziale,0.04,90.0,4,20.89252242663796,65,,0,0.0
117.0,9567,Polizza Salute e Infortuni: Salute Protetta,Protezione,2022-09-11,326.0,,,100000.0,Attiva,2023-09-11,Rete Diretta Agenziale,0.18,326.0,59,56.71482090923188,210,,0,0.0
118.0,9567,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2013-11-25,365.0,,,100000.0,Scaduta,2014-11-25,Rete Diretta Agenziale,0.122,365.0,45,88.31892565458288,232,,0,0.0
119.0,9570,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2006-03-07,425.0,,,500000.0,Scaduta,2007-03-07,Rete Diretta Agenziale,0.137,425.0,58,63.87101186828767,303,,0,0.0
120.0,9570,Piano Individuale Pensionistico (PIP): Pensione Serenità,Previdenza,2016-08-27,226.0,,30062.0,,Scaduta,2017-08-27,Rete Diretta Agenziale,0.045,226.0,10,56.23135713171043,160,,0,0.0
121.0,9573,Polizza Salute e Infortuni: Salute Protetta,Protezione,2022-02-13,507.0,,,100000.0,Attiva,2023-02-13,Rete Diretta Agenziale,0.155,507.0,79,118.73036917081174,309,,0,0.0
122.0,9573,Polizza Vita a Premio Unico: Futuro Sicuro,Risparmio e Investimento,2023-05-13,,47998.0,49647.0,,Attiva,2024-05-13,Rete Diretta Agenziale,0.039,0.0,0,0.0,0,,0,0.0
123.0,9574,Polizza Salute e Infortuni: Salute Protetta,Protezione,2017-06-25,391.0,,,200000.0,Scaduta,2018-06-25,Rete Diretta Agenziale,0.168,391.0,66,93.10409052330108,232,4552.0,4552,3.0
124.0,9574,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2009-09-24,734.0,,,100000.0,Scaduta,2010-09-24,Rete Diretta Agenziale,0.154,734.0,113,131.25629391534898,490,18561.0,18561,3.0
125.0,9575,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2017-07-23,550.0,,,200000.0,Scaduta,2018-07-23,Rete Diretta Agenziale,0.179,550.0,98,83.88004625175708,368,,0,0.0
