codice_cliente,Data_Interazione,Tipo_Interazione,Motivo,Durata_Minuti,Esito,Note,Conversione
9520,2025-12-08,App Mobile,Modifica Polizza,28.0,Positivo,Cliente interessato,False
9521,2024-02-10,Chiamata Telefonica,Consulenza,4.0,Positivo,,True
9521,2024-03-03,Visita Agente,Modifica Polizza,7.0,Positivo,,False
9521,2024-03-13,Email,Reclamo,7.0,Positivo,,False
9521,2024-03-20,Chiamata Telefonica,Rinnovo,6.0,Positivo,,False
9521,2024-07-19,Visita Agente,Rinnovo,11.0,Neutrale,Richiesta follow-up,False
9521,2024-08-30,Chiamata Telefonica,Richiesta Info Prodotto,,Positivo,Richiesta follow-up,True
9521,2024-11-03,Visita Agente,Consulenza,26.0,Neutrale,,False
9521,2025-01-02,App Mobile,Consulenza,32.0,Positivo,Cliente interessato,False
9521,2025-04-24,Visita Agente,Sinistro,,Positivo,Richiesta follow-up,False
9521,2025-06-22,Chat Online,Modifica Polizza,21.0,Positivo,Richiesta follow-up,False
9521,2025-07-13,Email,Modifica Polizza,,Neutrale,,False
9521,2025-08-03,App Mobile,Sinistro,8.0,Positivo,,False
9521,2025-09-30,Email,Rinnovo,63.0,Neutrale,Da ricontattare,False
9522,2024-01-30,Chiamata Telefonica,Pagamento Premio,,Positivo,Richiesta follow-up,False
9522,2024-02-22,Chat Online,Reclamo,,Neutrale,Da ricontattare,False
9522,2024-09-09,App Mobile,Modifica Polizza,6.0,Positivo,,False
9522,2024-12-08,Visita Agente,Modifica Polizza,,Positivo,,False
9522,2025-04-14,App Mobile,Modifica Polizza,34.0,Positivo,Cliente interessato,False
9522,2025-11-18,Visita Agente,Sinistro,30.0,Positivo,,False
9523,2023-12-13,Chiamata Telefonica,Rinnovo,12.0,Positivo,,False
9523,2024-01-31,App Mobile,Pagamento Premio,,Positivo,,False
9523,2024-02-16,Visita Agente,Reclamo,36.0,Neutrale,Cliente interessato,False
9523,2024-03-28,Chat Online,Richiesta Preventivo,14.0,Negativo,,False
9523,2025-04-17,Chat Online,Consulenza,,Positivo,Cliente interessato,False
9524,2023-12-22,Visita Agente,Modifica Polizza,31.0,Positivo,,False
9524,2024-04-28,Email,Sinistro,12.0,Neutrale,,False
9524,2025-08-19,Chat Online,Sinistro,3.0,Positivo,,False
9524,2025-09-08,Chiamata Telefonica,Pagamento Premio,3.0,Positivo,,False
9525,2023-12-14,App Mobile,Consulenza,17.0,Positivo,,True
9525,2024-01-24,App Mobile,Reclamo,43.0,Positivo,Da ricontattare,False
9525,2024-05-07,Email,Consulenza,,Neutrale,,False
9525,2024-11-12,Visita Agente,Modifica Polizza,7.0,Neutrale,,False
9525,2025-03-30,Chiamata Telefonica,Pagamento Premio,4.0,Positivo,Da ricontattare,False
9525,2025-05-02,Email,Richiesta Preventivo,14.0,Neutrale,,False
9525,2025-06-29,App Mobile,Richiesta Preventivo,11.0,Positivo,Richiesta follow-up,False
9525,2025-08-30,Chiamata Telefonica,Reclamo,2.0,Positivo,,False
9525,2025-10-31,Chiamata Telefonica,Pagamento Premio,,Neutrale,,False
9526,2024-03-12,Chat Online,Sinistro,13.0,Positivo,Richiesta follow-up,False
9526,2024-05-19,App Mobile,Reclamo,36.0,Neutrale,,False
9526,2024-06-01,Chiamata Telefonica,Modifica Polizza,46.0,Neutrale,,False
9526,2024-11-08,Chat Online,Reclamo,12.0,Positivo,,False
9526,2025-01-15,Chat Online,Richiesta Info Prodotto,16.0,Positivo,Cliente interessato,True
9526,2025-06-18,Email,Sinistro,14.0,Positivo,,False
9526,2025-06-26,Email,Richiesta Info Prodotto,8.0,Positivo,,False
9527,2024-06-05,Chiamata Telefonica,Rinnovo,,Neutrale,,False
9527,2024-10-16,Visita Agente,Pagamento Premio,38.0,Neutrale,,False
9528,2024-05-22,App Mobile,Richiesta Info Prodotto,26.0,Positivo,Richiesta follow-up,False
9528,2025-08-04,Email,Pagamento Premio,8.0,Positivo,,False
9529,2024-04-16,Email,Sinistro,0.0,Positivo,Da ricontattare,False
9529,2025-08-12,App Mobile,Modifica Polizza,3.0,Positivo,,False
9530,2024-02-04,App Mobile,Richiesta Preventivo,,Positivo,Cliente interessato,False
9530,2024-04-01,Chiamata Telefonica,Sinistro,0.0,Positivo,Cliente interessato,False
9530,2024-05-15,Visita Agente,Richiesta Info Prodotto,6.0,Negativo,,False
9531,2024-01-09,Chiamata Telefonica,Pagamento Premio,18.0,Positivo,,False
9531,2024-03-06,App Mobile,Consulenza,,Positivo,Da ricontattare,False
9531,2024-05-31,Visita Agente,Pagamento Premio,46.0,Positivo,,False
9531,2024-07-27,Chat Online,Consulenza,36.0,Positivo,,False
9531,2024-10-15,Email,Consulenza,,Negativo,,False
9531,2024-11-26,Chiamata Telefonica,Pagamento Premio,,Negativo,Da ricontattare,False
9531,2025-05-09,App Mobile,Rinnovo,,Positivo,,False
9532,2024-06-02,Chiamata Telefonica,Consulenza,1.0,Positivo,,False
9532,2024-09-01,Visita Agente,Consulenza,8.0,Positivo,Da ricontattare,True
9532,2024-11-15,Email,Consulenza,,Positivo,,False
9532,2025-02-07,Visita Agente,Rinnovo,,Positivo,,False
9532,2025-05-26,Email,Consulenza,,Positivo,,True
9533,2024-07-28,Chat Online,Modifica Polizza,,Positivo,Cliente interessato,False
9533,2024-07-30,Visita Agente,Consulenza,,Positivo,,False
9533,2024-09-02,Chat Online,Pagamento Premio,,Positivo,,False
9533,2024-11-29,Visita Agente,Sinistro,20.0,Negativo,,False
9533,2025-02-02,Visita Agente,Rinnovo,23.0,Positivo,,False
9533,2025-04-29,Chiamata Telefonica,Sinistro,2.0,Positivo,,False
9533,2025-06-01,Visita Agente,Pagamento Premio,,Positivo,Richiesta follow-up,False
9534,2024-05-05,Visita Agente,Pagamento Premio,17.0,Negativo,,False
9534,2024-07-05,Chiamata Telefonica,Richiesta Preventivo,,Positivo,Da ricontattare,False
9534,2025-07-18,Email,Rinnovo,14.0,Neutrale,,False
9534,2025-10-10,Email,Richiesta Info Prodotto,22.0,Negativo,,False
9535,2024-12-19,Visita Agente,Modifica Polizza,5.0,Positivo,Richiesta follow-up,False
9535,2025-02-08,Visita Agente,Richiesta Preventivo,13.0,Neutrale,,False
9535,2025-05-26,Email,Sinistro,14.0,Positivo,Cliente interessato,False
9535,2025-09-02,Email,Sinistro,2.0,Neutrale,,False
9537,2024-04-30,Email,Pagamento Premio,,Positivo,Richiesta follow-up,False
9537,2024-11-20,Chat Online,Reclamo,2.0,Neutrale,Cliente interessato,False
9537,2025-04-28,App Mobile,Sinistro,3.0,Positivo,Richiesta follow-up,False
9537,2025-06-01,Visita Agente,Pagamento Premio,9.0,Neutrale,Cliente interessato,False
9537,2025-07-23,Visita Agente,Reclamo,6.0,Positivo,Richiesta follow-up,False
9537,2025-09-02,Visita Agente,Modifica Polizza,15.0,Positivo,Da ricontattare,False
9538,2024-01-29,Visita Agente,Pagamento Premio,,Positivo,,False
9538,2024-02-03,Chiamata Telefonica,Consulenza,,Positivo,,False
9538,2024-04-22,Visita Agente,Modifica Polizza,12.0,Positivo,,False
9538,2025-05-16,App Mobile,Richiesta Preventivo,2.0,Positivo,,True
9538,2025-09-01,Chat Online,Modifica Polizza,32.0,Positivo,,False
9538,2025-11-26,Email,Consulenza,1.0,Positivo,Richiesta follow-up,True
9539,2025-07-03,Visita Agente,Consulenza,,Positivo,,False
9539,2025-08-28,Visita Agente,Modifica Polizza,6.0,Positivo,Richiesta follow-up,False
9540,2024-05-03,Chiamata Telefonica,Richiesta Info Prodotto,6.0,Neutrale,,False
9540,2024-08-22,Chat Online,Rinnovo,10.0,Positivo,,False
9540,2024-08-23,Chiamata Telefonica,Sinistro,10.0,Negativo,,False
9540,2024-09-04,Visita Agente,Sinistro,9.0,Positivo,,False
9540,2025-04-29,Visita Agente,Reclamo,11.0,Positivo,Cliente interessato,False
9540,2025-09-11,Chiamata Telefonica,Reclamo,1.0,Positivo,,False
9541,2025-01-11,Email,Consulenza,,Negativo,,False
9541,2025-05-26,Visita Agente,Pagamento Premio,6.0,Neutrale,,False
9541,2025-08-02,Email,Sinistro,,Positivo,,False
9542,2024-01-11,Email,Pagamento Premio,19.0,Positivo,,False
9542,2024-11-20,Visita Agente,Richiesta Info Prodotto,,Neutrale,Da ricontattare,False
9542,2025-06-03,Email,Richiesta Info Prodotto,7.0,Positivo,,False
9542,2025-09-25,Email,Richiesta Preventivo,5.0,Positivo,,False
9543,2024-05-18,Email,Consulenza,,Positivo,Da ricontattare,False
9543,2025-03-14,Visita Agente,Modifica Polizza,,Positivo,,False
9543,2025-11-20,Chat Online,Sinistro,3.0,Neutrale,,False
9544,2023-12-12,Email,Rinnovo,,Negativo,,False
9544,2024-01-30,Email,Sinistro,,Neutrale,Cliente interessato,False
9544,2024-04-01,Chiamata Telefonica,Reclamo,43.0,Positivo,,False
9544,2024-06-01,Chiamata Telefonica,Reclamo,20.0,Positivo,,False
9544,2025-06-12,Email,Richiesta Info Prodotto,1.0,Neutrale,,False
9544,2025-09-29,Chiamata Telefonica,Pagamento Premio,48.0,Neutrale,Cliente interessato,False
9544,2025-11-20,Chiamata Telefonica,Richiesta Preventivo,,Neutrale,Richiesta follow-up,False
9545,2024-03-07,Chiamata Telefonica,Rinnovo,,Negativo,,False
9545,2025-09-27,Visita Agente,Pagamento Premio,,Positivo,,False
9546,2024-02-13,Chiamata Telefonica,Richiesta Info Prodotto,,Positivo,,False
9546,2024-05-13,Email,Richiesta Preventivo,75.0,Positivo,,False
9546,2024-06-10,Visita Agente,Reclamo,,Negativo,,False
9546,2024-10-11,Email,Richiesta Preventivo,48.0,Neutrale,Cliente interessato,False
9546,2025-05-10,Chat Online,Reclamo,19.0,Positivo,,False
9547,2024-01-11,Chat Online,Richiesta Preventivo,1.0,Positivo,,False
9547,2024-03-20,Chat Online,Richiesta Info Prodotto,,Neutrale,,False
9547,2024-03-31,Email,Sinistro,,Positivo,,False
9547,2024-10-28,Visita Agente,Consulenza,32.0,Positivo,Richiesta follow-up,False
9547,2025-05-16,Email,Richiesta Info Prodotto,0.0,Positivo,,False
9547,2025-07-28,Email,Reclamo,9.0,Neutrale,,False
9548,2024-07-21,Chiamata Telefonica,Reclamo,3.0,Neutrale,,False
9548,2024-08-26,Chiamata Telefonica,Richiesta Info Prodotto,3.0,Positivo,,True
9548,2024-11-14,Email,Reclamo,,Neutrale,,False
9548,2025-03-02,Visita Agente,Richiesta Preventivo,,Positivo,Richiesta follow-up,False
9548,2025-07-18,Chiamata Telefonica,Richiesta Preventivo,,Positivo,Da ricontattare,False
9548,2025-08-13,Visita Agente,Sinistro,3.0,Neutrale,,False
9549,2025-09-17,Visita Agente,Reclamo,,Neutrale,,False
9550,2023-12-12,Visita Agente,Richiesta Info Prodotto,26.0,Neutrale,,False
9550,2024-06-10,Chiamata Telefonica,Richiesta Preventivo,,Neutrale,,False
9550,2024-07-17,Visita Agente,Pagamento Premio,,Positivo,,False
9550,2024-07-20,Email,Reclamo,,Positivo,Cliente interessato,False
9550,2024-12-20,Visita Agente,Sinistro,1.0,Positivo,Richiesta follow-up,False
9550,2025-01-30,Email,Rinnovo,5.0,Positivo,Richiesta follow-up,False
9550,2025-03-14,Email,Rinnovo,16.0,Positivo,,False
9550,2025-10-08,Chiamata Telefonica,Consulenza,10.0,Negativo,,False
9551,2024-02-29,Chat Online,Consulenza,7.0,Neutrale,,False
9551,2024-05-26,Visita Agente,Sinistro,4.0,Neutrale,,False
9551,2025-07-05,Chiamata Telefonica,Rinnovo,15.0,Neutrale,,False
9552,2024-03-22,Chiamata Telefonica,Sinistro,,Neutrale,,False
9552,2024-06-04,App Mobile,Consulenza,,Positivo,,False
9552,2024-07-31,Chat Online,Modifica Polizza,4.0,Positivo,,False
9552,2024-10-10,Chiamata Telefonica,Modifica Polizza,95.0,Positivo,,False
9552,2024-11-23,Chiamata Telefonica,Sinistro,10.0,Positivo,Richiesta follow-up,False
9552,2025-04-10,Chat Online,Rinnovo,,Neutrale,,False
9552,2025-09-19,Chiamata Telefonica,Modifica Polizza,,Positivo,,False
9553,2024-04-19,Visita Agente,Pagamento Premio,13.0,Positivo,Cliente interessato,False
9553,2024-12-23,Chiamata Telefonica,Richiesta Info Prodotto,5.0,Positivo,,False
9553,2024-12-30,App Mobile,Modifica Polizza,36.0,Positivo,,False
9553,2025-01-29,Visita Agente,Rinnovo,11.0,Neutrale,,False
9553,2025-03-09,Chat Online,Modifica Polizza,25.0,Negativo,,False
9553,2025-09-13,Chiamata Telefonica,Sinistro,1.0,Negativo,,False
9554,2025-03-04,Chiamata Telefonica,Pagamento Premio,25.0,Positivo,Da ricontattare,False
9554,2025-09-08,Chat Online,Modifica Polizza,38.0,Positivo,Cliente interessato,False
9555,2024-06-02,Chiamata Telefonica,Richiesta Info Prodotto,29.0,Negativo,Cliente interessato,False
9555,2024-06-03,Email,Consulenza,14.0,Positivo,,False
9555,2025-05-19,App Mobile,Sinistro,2.0,Negativo,Cliente interessato,False
9555,2025-07-16,App Mobile,Sinistro,15.0,Negativo,,False
9555,2025-10-23,Visita Agente,Pagamento Premio,21.0,Neutrale,,False
9556,2023-12-13,Email,Richiesta Info Prodotto,9.0,Positivo,,False
9556,2024-05-30,Visita Agente,Pagamento Premio,,Positivo,,False
9556,2024-06-02,Visita Agente,Reclamo,,Negativo,Cliente interessato,False
9556,2024-08-28,Visita Agente,Rinnovo,14.0,Positivo,,False
9556,2024-09-29,Chat Online,Rinnovo,29.0,Positivo,,False
9556,2025-04-23,App Mobile,Reclamo,,Neutrale,,False
9556,2025-11-01,App Mobile,Rinnovo,32.0,Neutrale,,False
9556,2025-11-24,Email,Richiesta Info Prodotto,0.0,Positivo,,False
9557,2024-07-02,Chat Online,Richiesta Info Prodotto,,Positivo,,False
9557,2024-11-07,Visita Agente,Modifica Polizza,,Positivo,,False
9557,2025-02-06,Visita Agente,Rinnovo,,Positivo,,False
9557,2025-10-31,Visita Agente,Sinistro,1.0,Negativo,,False
9557,2025-11-08,Visita Agente,Rinnovo,12.0,Positivo,,False
9558,2024-01-10,Email,Sinistro,25.0,Positivo,Cliente interessato,False
9558,2024-06-06,Chiamata Telefonica,Consulenza,17.0,Neutrale,,False
9558,2024-08-19,Chiamata Telefonica,Consulenza,,Neutrale,Cliente interessato,False
9558,2024-09-20,Visita Agente,Richiesta Info Prodotto,,Neutrale,,False
9558,2024-09-24,Visita Agente,Reclamo,,Neutrale,,False
9558,2024-12-24,App Mobile,Richiesta Preventivo,6.0,Positivo,,False
9558,2025-04-26,Visita Agente,Rinnovo,20.0,Positivo,,False
9558,2025-10-24,Chat Online,Richiesta Preventivo,9.0,Neutrale,,False
9559,2024-06-20,Chiamata Telefonica,Reclamo,4.0,Neutrale,,False
9559,2025-02-19,Chiamata Telefonica,Richiesta Info Prodotto,9.0,Neutrale,Da ricontattare,False
9559,2025-03-12,Chiamata Telefonica,Modifica Polizza,5.0,Neutrale,,False
9559,2025-04-14,Chiamata Telefonica,Reclamo,11.0,Neutrale,,False
9559,2025-04-17,Visita Agente,Modifica Polizza,9.0,Positivo,Da ricontattare,False
9559,2025-08-15,Email,Richiesta Info Prodotto,,Positivo,,False
9560,2024-01-05,App Mobile,Sinistro,1.0,Neutrale,Da ricontattare,False
9560,2025-02-18,Visita Agente,Richiesta Preventivo,,Neutrale,Da ricontattare,False
9561,2024-03-10,Visita Agente,Richiesta Preventivo,,Neutrale,,False
9561,2024-12-18,Chat Online,Sinistro,,Neutrale,,False
9561,2025-08-10,App Mobile,Pagamento Premio,5.0,Positivo,,False
9561,2025-08-31,App Mobile,Pagamento Premio,71.0,Positivo,Richiesta follow-up,False
9562,2025-08-13,Visita Agente,Modifica Polizza,,Positivo,,False
9562,2025-10-22,App Mobile,Richiesta Preventivo,1.0,Positivo,,True
9562,2025-12-03,Visita Agente,Rinnovo,,Positivo,Cliente interessato,False
9563,2024-04-29,Chiamata Telefonica,Richiesta Info Prodotto,3.0,Positivo,Richiesta follow-up,True
9563,2024-05-31,Email,Rinnovo,42.0,Positivo,,False
9563,2025-10-21,Visita Agente,Sinistro,20.0,Positivo,Cliente interessato,False
9563,2025-11-08,Visita Agente,Richiesta Info Prodotto,45.0,Positivo,Da ricontattare,False
9564,2023-12-29,Chiamata Telefonica,Pagamento Premio,15.0,Positivo,,False
9564,2024-01-23,Visita Agente,Richiesta Preventivo,,Positivo,,False
9564,2024-03-22,Visita Agente,Sinistro,,Neutrale,,False
9564,2025-01-19,Email,Rinnovo,28.0,Positivo,,False
9564,2025-07-05,Visita Agente,Modifica Polizza,21.0,Positivo,Cliente interessato,False
9565,2024-05-22,Email,Sinistro,9.0,Positivo,Richiesta follow-up,False
9565,2024-05-24,Email,Consulenza,18.0,Positivo,,True
9565,2024-08-14,Visita Agente,Pagamento Premio,40.0,Positivo,Richiesta follow-up,False
9565,2024-09-13,Email,Consulenza,11.0,Positivo,,False
9565,2025-01-26,Chat Online,Reclamo,12.0,Positivo,,False
9565,2025-07-11,Email,Richiesta Preventivo,,Positivo,Cliente interessato,False
9566,2024-07-24,Visita Agente,Richiesta Info Prodotto,,Positivo,,False
9566,2024-09-26,Chat Online,Consulenza,2.0,Positivo,Cliente interessato,False
9566,2025-03-06,App Mobile,Pagamento Premio,,Positivo,,False
9567,2024-07-13,Visita Agente,Reclamo,1.0,Neutrale,Da ricontattare,False
9567,2024-09-16,Visita Agente,Sinistro,68.0,Negativo,,False
9567,2025-04-27,Visita Agente,Consulenza,8.0,Positivo,,False
9568,2025-01-29,Chiamata Telefonica,Richiesta Preventivo,18.0,Positivo,Cliente interessato,False
9568,2025-09-27,Chiamata Telefonica,Reclamo,6.0,Neutrale,Cliente interessato,False
9568,2025-12-07,Visita Agente,Reclamo,,Positivo,Cliente interessato,False
9569,2025-10-11,Chiamata Telefonica,Rinnovo,12.0,Neutrale,,False
9570,2024-04-04,Chiamata Telefonica,Reclamo,11.0,Positivo,Richiesta follow-up,False
9570,2025-04-17,Visita Agente,Richiesta Info Prodotto,2.0,Positivo,,False
9570,2025-09-10,Chiamata Telefonica,Richiesta Info Prodotto,,Negativo,,False
9571,2024-04-18,Chiamata Telefonica,Richiesta Preventivo,,Neutrale,,False
9571,2024-04-20,Chiamata Telefonica,Sinistro,0.0,Neutrale,,False
9571,2024-08-09,Visita Agente,Reclamo,32.0,Positivo,,False
9571,2025-10-18,Chat Online,Pagamento Premio,2.0,Positivo,Da ricontattare,False
9572,2024-04-18,Chiamata Telefonica,Rinnovo,4.0,Positivo,,False
9572,2024-08-13,Visita Agente,Richiesta Info Prodotto,11.0,Positivo,,False
9572,2024-10-05,App Mobile,Consulenza,35.0,Positivo,,True
9573,2024-01-16,Chiamata Telefonica,Reclamo,9.0,Neutrale,,False
9573,2024-02-11,Chat Online,Reclamo,17.0,Neutrale,,False
9573,2024-02-19,Chat Online,Pagamento Premio,17.0,Positivo,Richiesta follow-up,False
9573,2025-01-22,Chat Online,Reclamo,,Negativo,,False
9573,2025-02-25,Email,Richiesta Preventivo,7.0,Neutrale,,False
9574,2024-09-06,Chiamata Telefonica,Sinistro,3.0,Positivo,,False
9574,2024-10-03,App Mobile,Modifica Polizza,4.0,Positivo,,False
9574,2024-11-17,Visita Agente,Richiesta Info Prodotto,2.0,Positivo,,True
9574,2025-01-25,Chat Online,Modifica Polizza,6.0,Positivo,,False
9574,2025-02-10,Chiamata Telefonica,Pagamento Premio,38.0,Positivo,Cliente interessato,False
9574,2025-05-04,Chiamata Telefonica,Richiesta Preventivo,,Neutrale,,False
9575,2024-01-04,Visita Agente,Pagamento Premio,2.0,Positivo,,False
9575,2024-02-26,Chat Online,Reclamo,25.0,Positivo,Cliente interessato,False
9575,2024-05-14,Visita Agente,Consulenza,4.0,Positivo,,False
9575,2024-11-01,Chiamata Telefonica,Reclamo,0.0,Positivo,,False
9575,2025-03-07,Email,Reclamo,1.0,Negativo,,False
9576,2024-09-27,Visita Agente,Rinnovo,0.0,Positivo,Da ricontattare,False
9576,2024-11-15,Visita Agente,Pagamento Premio,28.0,Positivo,,False
9576,2024-11-18,App Mobile,Pagamento Premio,,Positivo,,False
9576,2024-12-29,Chiamata Telefonica,Consulenza,,Positivo,,True
9576,2025-06-04,App Mobile,Consulenza,12.0,Positivo,,False
9576,2025-06-06,Visita Agente,Modifica Polizza,5.0,Positivo,Cliente interessato,False
9576,2025-08-26,Chat Online,Consulenza,21.0,Positivo,,True
9576,2025-10-22,Email,Consulenza,2.0,Positivo,Cliente interessato,False
9577,2024-07-16,Email,Modifica Polizza,1.0,Positivo,Richiesta follow-up,False
9577,2024-09-15,Chat Online,Consulenza,,Positivo,,False
9577,2024-10-10,Chat Online,Modifica Polizza,2.0,Positivo,Cliente interessato,False
9577,2024-11-06,Visita Agente,Sinistro,,Positivo,,False
9578,2024-03-13,Chiamata Telefonica,Consulenza,3.0,Positivo,Cliente interessato,False
9578,2024-04-21,Visita Agente,Pagamento Premio,14.0,Positivo,,False
9578,2024-07-21,Visita Agente,Richiesta Preventivo,3.0,Neutrale,,False
9578,2024-11-10,Chiamata Telefonica,Consulenza,8.0,Neutrale,,False
9578,2025-08-08,Chat Online,Sinistro,,Positivo,,False
9579,2024-09-07,Visita Agente,Sinistro,,Positivo,,False
9579,2025-04-29,Visita Agente,Richiesta Preventivo,12.0,Neutrale,Da ricontattare,False
